"profile_id","dataset_id","country_id","latitude","longitude","cfao_version","cfao_major_group","cwrb_version","cwrb_reference_soil_group","cstx_version","cstx_order_name","translated"
210771,{MX-INEGI},MX,27.95306200,-110.26814602,1974,Xerosols,,,,,true
210807,{MX-INEGI},MX,27.18943380,-109.97940489,1974,Yermosols,,,,,true
210957,{MX-INEGI},MX,26.32561812,-112.00462344,1974,Xerosols,,,,,true
210963,{MX-INEGI},MX,26.21908080,-111.93006502,1974,Xerosols,,,,,true
210968,{MX-INEGI},MX,26.09578284,-111.98385373,1974,Xerosols,,,,,true
211007,{MX-INEGI},MX,26.09109627,-111.60577664,1974,Xerosols,,,,,true
211014,{MX-INEGI},MX,26.96491538,-109.68202565,1974,Xerosols,,,,,true
211026,{MX-INEGI},MX,26.87181538,-109.04663444,1974,Xerosols,,,,,true
211037,{MX-INEGI},MX,26.79102546,-109.59156427,1974,Yermosols,,,,,true
211057,{MX-INEGI},MX,26.61717919,-109.16433103,1974,Xerosols,,,,,true
211078,{MX-INEGI},MX,26.37481167,-109.05059240,1974,Xerosols,,,,,true
211111,{MX-INEGI},MX,26.02957599,-111.96870579,1974,Yermosols,,,,,true
211119,{MX-INEGI},MX,25.88413610,-111.91652516,1974,Yermosols,,,,,true
211120,{MX-INEGI},MX,25.84016610,-111.51156177,1974,Yermosols,,,,,true
211125,{MX-INEGI},MX,25.74951666,-111.63660070,1974,Xerosols,,,,,true
211130,{MX-INEGI},MX,25.55951104,-111.67074966,1974,Xerosols,,,,,true
211137,{MX-INEGI},MX,25.44468657,-111.31656241,1974,Yermosols,,,,,true
211141,{MX-INEGI},MX,25.39661834,-111.36328329,1974,Xerosols,,,,,true
211143,{MX-INEGI},MX,25.36733836,-111.52601468,1974,Xerosols,,,,,true
211146,{MX-INEGI},MX,25.36325895,-111.68458152,1974,Xerosols,,,,,true
211157,{MX-INEGI},MX,25.22771714,-111.28100282,1974,Yermosols,,,,,true
211166,{MX-INEGI},MX,25.12842142,-110.98126850,1974,Yermosols,,,,,true
211171,{MX-INEGI},MX,25.08465940,-111.28629321,1974,Xerosols,,,,,true
211173,{MX-INEGI},MX,25.08722229,-111.61585172,1974,Yermosols,,,,,true
211183,{MX-INEGI},MX,25.95583681,-109.08654741,1974,Xerosols,,,,,true
211238,{MX-INEGI},MX,25.24367493,-108.11324855,1974,Xerosols,,,,,true
211342,{MX-INEGI},MX,27.93678550,-104.81924326,1974,Yermosols,,,,,true
211346,{MX-INEGI},MX,27.90782098,-105.68390829,1974,Xerosols,,,,,true
211352,{MX-INEGI},MX,27.86188839,-104.08356876,1974,Xerosols,,,,,true
211361,{MX-INEGI},MX,27.75656255,-104.46155758,1974,Xerosols,,,,,true
211364,{MX-INEGI},MX,27.73791322,-104.35886407,1974,Yermosols,,,,,true
211371,{MX-INEGI},MX,27.65007736,-105.30717108,1974,Xerosols,,,,,true
211383,{MX-INEGI},MX,27.55177464,-105.04681664,1974,Xerosols,,,,,true
