profile_id,profile_layer_id,upper_depth,lower_depth,tceq_value_avg,clay_value_avg,elcosp_value_avg,orgc_value_avg,phaq_value_avg,sand_value_avg,silt_value_avg,latitude,longitude
216540,1063294,8,20,,,10.0,286.0,7.900000099999999,,,20.31011447,-90.44793472
216540,1063292,20,125,,4.0,7.5,5.0,8.19999981,56.0,40.0,20.31011447,-90.44793472
216567,1063392,127,200,,,0.10000000099999999,2.0,8.30000019,,,21.05696292,-86.93568968
216567,1063394,45,78,,,0.200000003,5.0,8.10000038,,,21.05696292,-86.93568968
216567,1063395,78,95,,,0.10000000099999999,2.0,8.30000019,,,21.05696292,-86.93568968
216567,1063396,95,127,,,0.10000000099999999,2.0,8.19999981,,,21.05696292,-86.93568968
216567,1063393,0,45,792.0,12.0,0.10000000099999999,2.0,7.599999900000001,86.0,2.0,21.05696292,-86.93568968
216572,1063403,0,8,80.0,,0.400000006,72.0,7.099999900000001,,,20.71061132,-87.75900393
216575,1063411,47,75,840.0,,0.10000000099999999,3.0,8.39999962,,,20.2075542,-87.53193497
216575,1063415,132,155,848.0,,0.10000000099999999,0.0,8.5,,,20.2075542,-87.53193497
216575,1063416,105,132,856.0,,0.10000000099999999,1.0,8.39999962,,,20.2075542,-87.53193497
216575,1063417,87,105,952.0,,0.10000000099999999,1.0,8.5,,,20.2075542,-87.53193497
216575,1063418,75,87,263.0,,0.10000000099999999,1.0,8.5,,,20.2075542,-87.53193497
216575,1063419,36,47,1000.0,,0.10000000099999999,8.0,8.5,,,20.2075542,-87.53193497
216575,1063412,0,19,920.0,12.0,0.300000012,29.0,7.900000099999999,88.0,0.0,20.2075542,-87.53193497
216575,1063413,19,28,896.0,6.0,0.200000003,16.0,8.10000038,94.0,0.0,20.2075542,-87.53193497
216575,1063414,28,36,824.0,19.0,0.200000003,13.0,8.19999981,80.0,1.0,20.2075542,-87.53193497
216576,1063420,0,12,505.0,,0.600000024,88.0,7.30000019,,,20.48900998,-87.44959087
216577,1063421,0,10,0.0,,1.60000002,255.0,5.9000001,,,20.23490882,-87.66043387
216578,1063422,20,34,563.0,,0.400000006,89.0,7.400000099999999,,,20.94990639,-87.01803747
216578,1063423,0,20,945.0,,1.29999995,223.0,6.80000019,,,20.94990639,-87.01803747
217285,1065902,42,64,,,0.0,3.0,7.30000019,,,24.31835731,-104.72622035
217285,1065898,64,89,,,0.0,1.0,7.099999900000001,,,24.31835731,-104.72622035
217285,1065899,23,42,,,0.0,5.0,7.400000099999999,,,24.31835731,-104.72622035
217285,1065900,89,109,,,0.0,1.0,7.900000099999999,,,24.31835731,-104.72622035
217285,1065901,109,128,,,0.10000000099999999,1.0,8.60000038,,,24.31835731,-104.72622035
217285,1065903,0,23,,2.0,0.0,7.0,7.099999900000001,70.0,28.0,24.31835731,-104.72622035
217087,1065281,20,40,,,2.9000001,1.0,8.60000038,,,26.81336965,-103.41594908
217087,1065280,0,20,,,2.0999999,2.0,8.30000019,,,26.81336965,-103.41594908
215435,1063973,0,20,0.0,,0.699999988,84.0,5.4000001,,,19.66547951,-101.79764214
215435,1063974,40,60,0.0,,0.200000003,76.0,5.5999999,,,19.66547951,-101.79764214
215435,1063976,20,40,0.0,,0.600000024,88.0,5.5,,,19.66547951,-101.79764214
215435,1063975,60,80,0.0,18.0,0.0,48.0,5.5999999,60.0,22.0,19.66547951,-101.79764214
215435,1063977,80,100,0.0,14.0,0.10000000099999999,46.0,6.0999999,58.0,28.0,19.66547951,-101.79764214
215435,1063978,100,125,0.0,12.0,0.0,46.0,6.0,78.0,10.0,19.66547951,-101.79764214
215438,1063990,0,5,0.0,,0.8999999759999999,127.0,5.5999999,,,19.48332032,-101.61775141
216758,1064079,0,10,,,0.200000003,73.0,7.5,,,27.07834157,-109.11498078
216758,1064078,10,24,,32.0,0.10000000099999999,27.0,7.69999981,42.0,26.0,27.07834157,-109.11498078
216795,1064236,0,10,480.0,,17.6000004,4.0,8.0,,,27.01574908,-112.86776207
216795,1064237,10,20,,,12.3000002,6.0,8.19999981,,,27.01574908,-112.86776207
216795,1064238,50,100,,10.0,12.1000004,2.0,8.39999962,52.0,38.0,27.01574908,-112.86776207
216795,1064239,20,50,535.0,12.0,40.5999985,0.0,8.30000019,76.0,12.0,27.01574908,-112.86776207
216845,1064362,44,78,,,0.300000012,3.0,8.30000019,,,26.8521601,-109.15282238
216845,1064359,78,96,,10.0,0.300000012,0.0,9.0,58.0,32.0,26.8521601,-109.15282238
216845,1064360,0,14,,32.0,0.0,6.0,8.0,44.0,24.0,26.8521601,-109.15282238
216845,1064361,14,44,,42.0,0.10000000099999999,3.0,8.0,38.0,20.0,26.8521601,-109.15282238
216981,1064899,90,125,579.0,,0.300000012,3.0,8.39999962,,,27.85006767,-103.07803404
216981,1064904,70,90,602.0,,0.300000012,3.0,8.39999962,,,27.85006767,-103.07803404
216981,1064900,50,70,614.0,36.0,0.300000012,3.0,8.30000019,38.0,26.0,27.85006767,-103.07803404
216981,1064901,25,50,602.0,18.0,0.200000003,5.0,8.30000019,70.0,12.0,27.85006767,-103.07803404
216981,1064902,12,25,614.0,20.0,0.300000012,4.0,8.39999962,70.0,10.0,27.85006767,-103.07803404
216981,1064903,0,12,636.0,20.0,0.300000012,5.0,8.5,64.0,16.0,27.85006767,-103.07803404
216983,1064911,30,40,511.0,,0.200000003,8.0,8.30000019,,,27.63507089,-102.38233476
216983,1064909,20,30,477.0,30.0,0.5,8.0,8.30000019,54.0,16.0,27.63507089,-102.38233476
216983,1064910,0,20,477.0,26.0,0.200000003,11.0,8.60000038,54.0,20.0,27.63507089,-102.38233476
216988,1064917,40,55,636.0,,1.39999998,3.0,8.5,,,27.00782656,-102.73089951
216988,1064918,12,25,500.0,18.0,1.20000005,6.0,8.19999981,58.0,24.0,27.00782656,-102.73089951
216988,1064919,0,12,608.0,20.0,0.300000012,6.0,8.19999981,64.0,16.0,27.00782656,-102.73089951
216988,1064920,25,40,511.0,25.0,1.60000002,3.0,8.19999981,56.0,19.0,27.00782656,-102.73089951
216990,1064923,85,125,621.0,,0.200000003,3.0,8.39999962,,,27.28201942,-102.34550407
216990,1064924,55,85,631.0,,0.200000003,5.0,8.39999962,,,27.28201942,-102.34550407
216990,1064925,35,55,602.0,,0.200000003,6.0,8.30000019,,,27.28201942,-102.34550407
216990,1064922,0,15,625.0,14.0,0.10000000099999999,9.0,8.60000038,71.0,15.0,27.28201942,-102.34550407
216990,1064926,15,35,659.0,16.0,0.200000003,8.0,8.39999962,69.0,15.0,27.28201942,-102.34550407
217104,1065336,36,61,,,5.5,4.0,8.69999981,,,26.35135312,-102.69269211
217104,1065334,19,36,,,5.30000019,3.0,8.60000038,,,26.35135312,-102.69269211
217104,1065335,0,19,,30.0,2.20000005,5.0,8.5,28.0,42.0,26.35135312,-102.69269211
217093,1065295,61,86,230.0,,5.19999981,0.0,8.80000019,,,26.22315389,-103.6379244
217093,1065298,38,61,147.0,,1.89999998,0.0,8.69999981,,,26.22315389,-103.6379244
217093,1065299,86,115,228.0,,5.19999981,0.0,8.80000019,,,26.22315389,-103.6379244
217093,1065296,0,9,166.0,18.0,0.200000003,2.0,8.60000038,48.0,34.0,26.22315389,-103.6379244
217093,1065297,9,38,216.0,30.0,4.80000019,0.0,8.69999981,48.0,22.0,26.22315389,-103.6379244
217095,1065305,0,25,,,1.89999998,2.0,8.89999962,,,26.81796921,-102.17190244
217095,1065306,75,100,,,2.0,0.0,9.19999981,,,26.81796921,-102.17190244
217095,1065307,25,50,,,2.29999995,0.0,9.39999962,,,26.81796921,-102.17190244
217095,1065308,100,130,,,2.0,0.0,9.19999981,,,26.81796921,-102.17190244
217095,1065309,50,75,,,1.89999998,0.0,9.10000038,,,26.81796921,-102.17190244
217103,1065333,0,13,,,2.29999995,15.0,8.30000019,,,26.55695608,-102.72312782
217111,1065356,15,25,,,2.4000001,5.0,8.0,,,26.87241971,-102.25494968
217111,1065354,97,128,,18.0,1.79999995,2.0,8.10000038,20.0,62.0,26.87241971,-102.25494968
217111,1065355,0,15,,24.0,0.10000000099999999,4.0,8.89999962,18.0,58.0,26.87241971,-102.25494968
217111,1065357,25,53,,30.0,3.0999999,5.0,8.0,16.0,54.0,26.87241971,-102.25494968
217111,1065358,53,75,,30.0,3.20000005,4.0,8.10000038,18.0,52.0,26.87241971,-102.25494968
217111,1065359,75,97,,32.0,3.0999999,3.0,8.0,16.0,52.0,26.87241971,-102.25494968
217112,1065360,0,31,,,2.20000005,2.0,8.30000019,,,26.85594897,-102.02777952
217112,1065361,31,48,,,3.0,2.0,9.19999981,,,26.85594897,-102.02777952
217113,1065362,51,75,,,2.5,0.0,8.39999962,,,26.80668083,-102.16464625
217113,1065363,0,31,,,2.29999995,1.0,8.5,,,26.80668083,-102.16464625
217113,1065364,31,51,,,2.29999995,1.0,8.30000019,,,26.80668083,-102.16464625
217113,1065365,75,90,,,2.4000001,0.0,8.39999962,,,26.80668083,-102.16464625
217114,1065366,51,75,,,5.4000001,2.0,8.5,,,26.81847692,-102.24402332
217114,1065367,100,115,,,5.80000019,2.0,8.60000038,,,26.81847692,-102.24402332
217114,1065368,75,100,,,5.0999999,2.0,8.69999981,,,26.81847692,-102.24402332
217114,1065369,17,51,,20.0,4.5,3.0,8.5,31.0,49.0,26.81847692,-102.24402332
217114,1065370,0,17,,20.0,0.400000006,5.0,8.60000038,28.0,52.0,26.81847692,-102.24402332
217278,1065873,10,30,,,0.10000000099999999,7.0,7.599999900000001,,,24.97192504,-105.38132109
217278,1065872,0,10,,28.0,0.10000000099999999,12.0,7.19999981,61.0,11.0,24.97192504,-105.38132109
217384,1066245,85,125,531.0,,0.200000003,4.0,8.30000019,,,26.86602583,-100.53419514
217384,1066249,55,85,638.0,,0.200000003,4.0,8.30000019,,,26.86602583,-100.53419514
217384,1066246,40,55,,46.0,0.200000003,5.0,8.19999981,28.0,26.0,26.86602583,-100.53419514
217384,1066247,0,17,,46.0,0.200000003,7.0,8.30000019,22.0,32.0,26.86602583,-100.53419514
217384,1066248,17,40,,50.0,0.200000003,6.0,8.19999981,28.0,22.0,26.86602583,-100.53419514
217385,1066250,45,60,584.0,,6.80000019,4.0,8.10000038,,,26.47036479,-100.66183387
217385,1066255,80,100,638.0,,6.0,4.0,8.19999981,,,26.47036479,-100.66183387
217385,1066251,60,80,478.0,29.0,5.69999981,4.0,8.10000038,48.0,23.0,26.47036479,-100.66183387
217385,1066252,25,45,425.0,30.0,6.900000099999999,4.0,8.0,50.0,20.0,26.47036479,-100.66183387
217385,1066253,10,25,425.0,36.0,5.69999981,4.0,8.0,40.0,24.0,26.47036479,-100.66183387
217385,1066254,0,10,,18.0,4.19999981,4.0,8.19999981,28.0,54.0,26.47036479,-100.66183387
217389,1066268,10,25,611.0,,0.10000000099999999,7.0,8.10000038,,,26.85175846,-100.1220824
217389,1066269,25,45,558.0,,0.10000000099999999,7.0,8.10000038,,,26.85175846,-100.1220824
